step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,4,0.3556,0.9826,2.6,0.0
50176,mppi,4,0.6973,1.0000,0.0,0.0
100096,pi,4,0.7082,1.0000,0.0,0.0
100096,mppi,4,0.6263,0.9907,0.6666666666666666,0.0
150016,pi,4,0.9958,1.0000,0.0,0.0
150016,mppi,4,0.9390,1.0000,0.0,0.0
200192,pi,4,1.0000,1.0000,0.0,0.0
200192,mppi,4,0.9757,1.0000,0.0,0.0
250112,pi,4,1.0000,1.0000,0.0,0.0
250112,mppi,4,0.8270,0.9997,0.3333333333333333,0.0
300032,pi,4,1.0000,1.0000,0.0,0.0
300032,mppi,4,0.9220,1.0000,0.0,0.0
350208,pi,4,0.5936,1.0000,0.0,0.0
350208,mppi,4,0.6677,1.0000,0.0,0.0
400128,pi,4,0.7772,1.0000,0.0,0.0
400128,mppi,4,0.6727,1.0000,0.0,0.0
450048,pi,4,0.7850,1.0000,0.0,0.0
450048,mppi,4,0.9763,1.0000,0.0,0.0
500224,pi,4,0.5976,1.0000,0.0,0.0
500224,mppi,4,0.1417,1.0000,0.0,0.0
