step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,4,0.0660,1.0000,0.0,0.0
50176,mppi,4,0.0917,1.0000,0.0,0.0
100096,pi,4,0.6686,1.0000,0.0,0.0
100096,mppi,4,0.7640,1.0000,0.0,0.0
150016,pi,4,0.9948,1.0000,0.0,0.0
150016,mppi,4,0.8299,1.0000,0.0,0.0
200192,pi,4,0.4534,1.0000,0.0,0.0
200192,mppi,4,0.8894,1.0000,0.0,0.0
250112,pi,4,0.9988,1.0000,0.0,0.0
250112,mppi,4,0.8917,1.0000,0.0,0.0
300032,pi,4,1.0000,1.0000,0.0,0.0
300032,mppi,4,0.8167,1.0000,0.0,0.0
350208,pi,4,1.0000,1.0000,0.0,0.0
350208,mppi,4,0.7857,1.0000,0.0,0.0
400128,pi,4,1.0000,1.0000,0.0,0.0
400128,mppi,4,0.9667,1.0000,0.0,0.0
450048,pi,4,0.9894,1.0000,0.0,0.0
450048,mppi,4,0.7987,1.0000,0.0,0.0
500224,pi,4,0.6878,1.0000,0.0,0.0
500224,mppi,4,0.4023,1.0000,0.0,0.0
