step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,4,0.3638,1.0000,0.0,0.0
50176,mppi,4,0.0937,0.9947,1.3333333333333333,0.0
100096,pi,4,0.0304,1.0000,0.0,0.0
100096,mppi,4,0.6703,1.0000,0.0,0.0
150016,pi,4,0.9478,1.0000,0.0,0.0
150016,mppi,4,1.0000,1.0000,0.0,0.0
200192,pi,4,0.9354,1.0000,0.0,0.0
200192,mppi,4,0.9708,1.0000,0.0,0.0
250112,pi,4,0.9998,1.0000,0.0,0.0
250112,mppi,4,0.9987,1.0000,0.0,0.0
300032,pi,4,0.9608,0.9992,0.6,0.0
300032,mppi,4,1.0000,1.0000,0.0,0.0
350208,pi,4,1.0000,1.0000,0.0,0.0
350208,mppi,4,0.9360,1.0000,0.0,0.0
400128,pi,4,1.0000,1.0000,0.0,0.0
400128,mppi,4,0.9950,1.0000,0.0,0.0
450048,pi,4,1.0000,1.0000,0.0,0.0
450048,mppi,4,0.9910,1.0000,0.0,0.0
500224,pi,4,1.0000,1.0000,0.0,0.0
500224,mppi,4,1.0000,1.0000,0.0,0.0
